transaction_id,customer_name,amount,transaction_date,customer_id,email
101,John Smith,784,2023-01-31,1,john.smith@email.com
102,Jane Doe,659,2023-02-28,2,jane.doe@email.com
103,Micheal Jonson,729,2023-03-31,3,m.johnson@email.com
104,Chris Lee,292,2023-04-30,4,c.lee@email.com
105,Katherine Davis,935,2023-05-31,5,k.davis@email.com
106,David Martinez,863,2023-06-30,6,d.martinez@email.com
107,Sara Brownn,807,2023-07-31,7,s.brown@email.com
108,James Wilson,459,2023-08-31,8,j.wilson@email.com
109,Patricia Taylor,109,2023-09-30,9,p.taylor@email.com
110,Robert Miller,823,2023-10-31,10,r.miller@email.com
